prompt,response
Please can you help me with that?,170
I am hungry.,171
Call her for me.,172
when can I go home?,173
Can I speak to a supervisor?,174
I am thirsty.,175
I am hungry.,176
I want to make a phone call,177
Can I volunteer at this hospital?,178
Can you direct me to the emergency ward?,179
He is dead,180
She died this morning,181
I am fraustrated,182
The NHIS doesn't cover for this.,183
The Woman is crying out loud.,184
Please tell the lady to shift a little.,185
The young man in white is the nurse.,186
Please help the old man down the stairs.,187
Only people with walking disability are allow to use the elevator.,188
Is there any other choice?,189
Use the female washroom,190
Use the male washroom,191
The doctor is not available at the moment,192
The doctor will be in shortly.,193
Is there a nutritionist I can speak to?,194
I have not eaten. Can I take the injection?,195
"Yes, I have eaten.",196
Go upstairs,197
"Leave me alone, I don't like that",198
Thank God for everything,199
Are you a believer? Pray to God,200
What brings you to the clinic today?,201
Can you describe your symptoms?,202
How long have you been feeling unwell?,203
Have you experienced this before?,204
Are you currently taking any medications?,205
Have you had any surgeries before?,206
When did the sickness start?,207
Do you feel pain when you're walking or moving?,208
Have you experienced this before?,209
What makes the pain worse?,210
What activities brings subsides the pain?,211
Do you dislike any food or anything?,212
Have you been exposed to any sick person recently?,213
Do you have a fever?,214
Let me check your vital signs.,215
Please take a deep breath.,216
Does it hurt when I press here?,217
Have you been sleeping well?,218
Do you feel nauseous or dizzy?,219
What is your usual diet like?,220
Have you experienced weight loss or gain?,221
Do you smoke or drink alcohol?,222
Do you feel short of breath?,223
Tell me more about how you're feeling,224
Are you feeling stressed or anxious?,225
Do you have regular bowel movements?,226
Do you feel fatigued during the day?,227
Let's check your blood pressure.,228
I need to listen to your heartbeat.,229
Please describe your daily activities.,230
Please have you noticed any swelling?,231
How would you rate your pain on a scale of 1 to 10?,232
Have you experienced blurred vision?,233
Are you feeling better than yesterday?,234
Do you have any questions for me?,235
Let's discuss your treatment options.,236
I recommend you do some tests.,237
How often do you feel this way?,238
Please lie down so I can examine you.,239
Are you able to eat and drink normally?,240
Please lift up your right hand.,241
Is there a history of this condition in your family?,242
How soon can I expect to feel better?,243
Are you comfortable right now?,244
Let's talk about your test results.,245
Have you been taking your medication as prescribed?,246
Do you experience chest pain during exercise?,247
Have you noticed any changes in your appetite?,248
Let's schedule a follow-up appointment.,249
I will write a referral to a specialist.,250
Can you tell me more about your symptoms?,251
Have you been feeling more tired than usual?,252
Do you have any trouble sleeping?,253
Have you been experiencing any headaches?,254
Do you feel any discomfort in your chest?,255
Have you noticed any changes in your skin?,256
Do you have any trouble with your vision?,257
Have you been feeling more anxious lately?,258
Do you have any trouble with your hearing?,259
Have you been experiencing any joint pain?,260
Do you feel any discomfort in your abdomen?,261
Have you noticed any changes in your weight?,262
Do you have any trouble with your memory?,263
Have you been feeling more irritable than usual?,264
Do you have trouble walking?,265
Have you been experiencing any muscle weakness?,266
Do you feel any discomfort in your back?,267
Have you noticed any changes in your mood?,268
Please give me your card,269
Have you been experiencing any dizziness?,270
Do you feel any discomfort in your neck?,271
Have you been feeling more depressed than usual?,272
Do you have any trouble with your breathing?,273
How soon can I expect to feel better?,274
Do you feel any discomfort in your legs?,275
Have you noticed any changes in your energy levels?,276
"I'm feeling anxious about this, is it normal?",277
Have you been feeling more fatigued than usual?,278
Do you have any trouble with your urination?,279
How often do you release bowel?,280
Do you feel any discomfort in your wrists?,281
Have you noticed any changes in your sleep patterns?,282
Do you have any trouble with your concentration?,283
How often do you release bowel?,284
Do you have any trouble with your bowel movements?,285
Have you been experiencing any swelling?,286
Do you feel any discomfort in your hands?,287
Have you noticed any changes in your skin color?,288
Do you have any trouble with your heart?,289
How are you feeling today?,290
You're doing great; just keep up with the prescribed treatment,291
Have you been experiencing any rashes?,292
Do you feel any discomfort in your feet?,293
Have you noticed any changes in your hair?,294
I致e prescribed some medication to help manage your symptoms.,295
Do you feel any discomfort in your shoulders?,296
We may need to run some tests,297
Have you been experiencing any itching?,298
Do you feel any discomfort in your arm?,299
You池e making good progress; let痴 keep monitoring your recovery.,300
Do you feel any discomfort in your throat?,301
It痴 normal to feel this way,302
You're overworking yourself,303
You need to take a break.,304
Get enough rest.,305
Do you feel any discomfort in your hips?,306
Have you noticed any changes in your vision?,307
Do you have any trouble with your hearing?,308
Don't sit for too long.,309
Do you have any trouble with your speech?,310
We can discuss different treatment options to find what works best for you,311
Do you feel any discomfort in your ears?,312
Do you have any trouble with your memory?,313
"You might feel some discomfort after this, but it should subside soon",314
Do you feel any discomfort in your stomach?,315
Point the exact location where you feel the pain.,316
I知 here to support you every step of the way during your recovery.,317
I'll give you a list of food to avoid.,318
Have you been experiencing any unexplained weight loss?,319
Do you feel any discomfort in your ribs?,320
Can you walk without assistance?,321
Do you have any trouble with your temperature?,322
Please follow the dieting plan I have shared with you,323
Do you feel any discomfort in your arms?,324
Have you been experiencing any tightness in your chest?,325
"Do you have any trouble with your sitting, walking or standing?",326
Have you been feeling more alert recently?,327
Do you feel any discomfort in your fingers?,328
Do you have any trouble with your vision at night?,329
Have you been experiencing any pain when swallowing?,330
Your card please,331
Have you been feeling more emotionally balanced?,332
Try to touch your feet in a bending position.,333
I致e been feeling a lot of pain lately,334
Do you feel any discomfort in your back?,335
Do you have any trouble with your teeth?,336
Can you explain what this test is for?,337
Do you feel any discomfort in your muscles?,338
Do you have any trouble with your memory recall?,339
Have you been feeling more nervous than usual?,340
Do you feel any discomfort in your stomach area?,341
Have you been experiencing any joint pain or swelling?,342
Do you have any trouble with your hearing at night?,343
Have you been feeling more confused lately?,344
Do you feel any discomfort in your legs?,345
Have you noticed any changes in your sleep patterns?,346
Do you have any trouble with your urinary frequency?,347
Have you been feeling more sluggish lately?,348
Do you feel any discomfort in your elbows?,349
Have you noticed any changes in your nails?,350
Do you have any trouble with your temperature regulation?,351
Have you been experiencing any muscle spasms?,352
Do you feel any discomfort in your feet?,353
Have you noticed any changes in your breathing patterns?,354
Do you have any trouble with your blood circulation?,355
Have you been feeling more nervous or anxious lately?,356
Do you feel any discomfort in your mouth?,357
I'm concerned about your health?,358
Do you have any trouble with your reflexes?,359
Show me your sore.,360
Do you feel any discomfort in your throat?,361
Have you been feeling more energetic than usual?,362
Do you feel any discomfort in your arms?,363
Have you noticed any changes in your hearing?,364
I'm worried about the results of my test.,365
I will prescribe some medicine.,366
Take these tablets twice a day,367
Drink warm water often.,368
Use this syrup for your cough.,369
Take this painkiller if needed.,370
Don稚 skip any doses.,371
Finish the full course of medicine.,372
Apply this ointment on the rash.,373
Take these pills after meals.,374
Get enough sleep.,375
Eat healthy food.,376
Avoid sugary foods.,377
Exercise regularly.,378
Don稚 smoke or drink alcohol.,379
Don稚 smoke or drink alcohol.,380
Reduce stress levels.,381
Keep your sugar levels in check.,382
You need a blood test.,383
I will order an X-ray.,384
Let痴 check your sugar levels.,385
Let's do a scan.,386
We should do a urine test.,387
Come back with your reports.,388
I will review your results tomorrow.,389
You need a follow-up visit.,390
Book an appointment for next week.,391
Have you been feeling more restless lately?,392
Do you have any trouble with your skin?,393
Have you been feeling more tired during the day?,394
Do you feel any discomfort in your neck?,395
Have you noticed any changes in your mental state?,396
Do you have any trouble with your blood sugar?,397
Have you been feeling more anxious or overwhelmed?,398
Do you feel any discomfort in your lower back?,399
Have you noticed any changes in your personal hygiene?,400
Your rash appears to be an allergic reaction.,401
Please avoid scratching the affected area.,402
We advise using this pomade.,403
This cream will help reduce inflammation.,404
The dermatologist will examine your skin closely.,405
Have you noticed any changes in the color?,406
This skin condition is common and treatable.,407
We need to perform a test to rule out any concerns.,408
Your skin is sensitive.,409
Please apply sunscreen daily to protect your skin.,410
You should avoid direct sunlight after this procedure.,411
This ointment will help with the itching.,412
We値l need to run some allergy tests to determine the cause.,413
This condition is often triggered by stress or diet.,414
Your skin appears to be reacting to a certain product.,415
Try to keep the area clean and dry to prevent infection.,416
My skin was rough before.,417
Please apply this cream daily.,418
Do you have a history of skin cancer in your family?,419
This prescription will help control skin condition.,420
Your skin is healing well.,421
It痴 important to drink plenty of water for skin hydration.,422
This medicated cream should help with the infection.,423
We recommend a lab test before using new skincare products.,424
Your skin may be reacting to certain fabrics or detergents.,425
This medicine will help reduce the pain.,426
You may experience some redness after the procedure.,427
"The mole does not appear cancerous, but we値l monitor it.",428
You should avoid hot showers to prevent skin irritation.,429
We値l prescribe a medicated cream for your condition.,430
Wash your face before going to bed.,431
Apply this gel before going to bed.,432
Please let us know if the rash spreads further.,433
It痴 important to prevent skin dryness.,434
We値l need to check for signs of an infection.,435
Your skin test results will be available in a few days.,436
When did the chicken pox start?,437
You may experience some mild peeling after this treatment.,438
Excessive sweating can sometimes lead to skin irritation.,439
You should avoid being in non-ventilated rooms.,440
Aloe vera can soothe sunburned skin.,441
This procedure may leave slight redness for a few hours.,442
Some skin conditions are hereditary and run in families.,443
A healthy diet can help improve your skin's appearance.,444
It痴 essential to reapply sunscreen every two hours.,445
We値l conduct a skin allergy test to identify triggers.,446
Try to avoid makeup until the irritation subsides.,447
"This condition is contagious, but it can be managed.",448
"Allergy, something your skin reacts to.",449
This medication may cause temporary dryness.,450
You should avoid repeating clothes.,451
The treatment may take a few weeks to show results.,452
How often do you change your bedsheet?,453
We recommend a vitamin C serum for skin brightening.,454
This condition is often aggravated by extreme temperatures.,455
We will perform a skin scraping test for further analysis.,456
Excessive sun exposure can increase your risk of skin cancer.,457
This cream will help soothe the irritation.,458
We suggest avoiding dairy products.,459
Shaving can sometimes cause razor bumps.,460
The redness should subside within a few hours.,461
Your skin will need time to adjust to the new medication.,462
Wearing loose-fitting clothes can help prevent skin irritation.,463
You should apply the ointment twice daily for best results.,464
The skin biopsy procedure will be quick and painless.,465
Your skin may feel dry after the chemical peel.,466
We recommend a humidifier to prevent dry skin.,467
This medication may cause sensitivity to sunlight.,468
You should avoid harsh soaps on the affected area.,469
Your skin appears to be healing well after the treatment.,470
Try not to pop your pimples to prevent scarring.,471
This antibacterial soap will help reduce infection risks.,472
Your condition might improve with dietary changes.,473
This gel is specifically formulated for rosacea.,474
Your scalp condition may require a medicated shampoo.,475
We値l monitor your progress over the next few weeks.,476
Your rash should start to fade within a few days.,477
You may experience some tingling after the laser treatment.,478
Avoid swimming pools until your skin has healed.,479
This cream is designed for sensitive and inflamed skin.,480
We値l apply a numbing cream before the procedure.,481
You should wash your face with lukewarm water only.,482
This peel will help with acne marks and fine lines.,483
We suggest using an oatmeal bath for relief.,484
Your sunburn should heal with proper hydration and care.,485
Avoid tight clothing to prevent irritation.,486
We値l need to test your skin for bacterial infections.,487
Your symptoms align with mild rosacea.,488
Try using an anti-inflammatory cream for relief.,489
The skin condition may flare up during colder months.,490
Your healing process may take a few weeks.,491
This procedure helps to remove dead skin cells.,492
Avoid using multiple acne treatments at the same time.,493
We suggest a gentle moisturizer for your baby痴 skin.,494
This light therapy can help with your condition.,495
The irritation should subside after a few applications.,496
Your scars will fade over time with the right treatment.,497
We値l need to examine the lesion under a microscope.,498
The new skincare regimen should improve your skin痴 texture.,499
Your skin is reacting positively to the prescribed treatment.,500
Do you have any chronic illnesses?,501
Have you ever been hospitalized?,502
When was your last medical check-up?,503
Do you have a history of diabetes?,504
Have you been diagnosed with hypertension?,505
Are you allergic to any medications?,506
Do you have a history of asthma?,507
Have you ever had a heart attack?,508
Did you have chickenpox as a child?,509
Do you have a history of mental health issues?,510
Have you undergone surgery before?,511
When did you last have a tetanus shot?,512
Have you ever broken a bone?,513
Do you have a family history of cancer?,514
What medications are you currently taking?,515
Have you had any recent infections?,516
Do you have a history of stroke?,517
Have you experienced severe allergic reactions?,518
Have you ever had blood transfusions?,519
Do you have any genetic conditions?,520
What illnesses have you had in the past?,521
Have you ever been diagnosed with kidney disease?,522
Do you have a history of anemia?,523
Have you been vaccinated against COVID-19?,524
Have you experienced vision or hearing problems?,525
Are you currently pregnant or breastfeeding?,526
Do you have a history of thyroid problems?,527
Have you had hepatitis before?,528
Have you ever been diagnosed with epilepsy?,529
Do you have a history of migraines?,530
Have you been tested for HIV?,531
Have you experienced blood clots in the past?,532
Have you ever had a seizure?,533
Have you experienced frequent infections?,534
Do you have a history of ulcers?,535
Have you had issues with high cholesterol?,536
Have you ever had a miscarriage?,537
Have you undergone cancer treatment?,538
Do you have a history of arthritis?,539
Have you had tuberculosis (TB) before?,540
Have you had problems with your liver?,541
Have you ever fainted before?,542
I have high blood pressure.,543
My father has a history of stroke.,544
She was diagnosed with diabetes in 2020.,545
He has asthma since childhood.,546
I had malaria last month.,547
She had typhoid fever last year.,548
He tested positive for hepatitis B.,549
Is there a history of mental illness in your family?,550
I was treated for tuberculosis in 2019.,551
Do you have a history of heart disease?,552
Have you ever had a blood disorder?,553
He has frequent back pain.,554
Do you have a history of high blood sugar?,555
I was diagnosed with stomach ulcers in 2021.,556
Have you been diagnosed with any neurological disorders?,557
Do you have a history of low blood pressure?,558
I was diagnosed with stomach ulcers in 2021.,559
Have you been diagnosed with any lung diseases?,560
She has arthritis in both knees.,561
He has poor eyesight and uses glasses.,562
Have you been diagnosed with any hormonal imbalances?,563
Do you have a history of prostate issues?,564
I get recurrent ear infections.,565
Have you been diagnosed with any blood clotting disorders?,566
He was diagnosed with heart disease in 2018.,567
Have you ever had a spinal injury?,568
Have you been diagnosed with any sleep disorders?,569
She has a liver condition managed with medication.,570
Have you ever had a blood transfusion reaction?,571
He is being treated for depression.,572
He gets severe headaches every week.,573
He had chickenpox as a child.,574
Have you been diagnosed with any metabolic disorders?,575
She gets frequent urinary tract infections.,576
Have you ever had a lung function test?,577
Have you been diagnosed with any kidney stones?,578
I have a history of fainting spells.,579
She was treated for pneumonia last year.,580
He has sickle cell disease.,581
I have frequent joint pain.,582
She had food poisoning last month.,583
I have low blood sugar.,584
She was bitten by a snake in 2020.,585
He has burn scars on his left arm.,586
I had high blood pressure during pregnancy.,587
He gets frequent nosebleeds.,588
Have you ever had a liver transplant?,589
She was bitten by a dog in 2022.,590
I feel dizzy and fatigued often.,591
Have you ever had a kidney transplant?,592
Have you been diagnosed with any bladder issues?,593
Do you have a history of prostate cancer?,594
I dislocated my shoulder last year.,595
Has your father had a stroke?,596
Was she diagnosed with diabetes?,597
Does he have asthma?,598
Have you had malaria recently?,599
Is she allergic to any medications?,600
Has he had typhoid fever?,601
Have you been diagnosed with any breast cancer?,602
Do you have a history of cervical cancer?,603
Has she been tested for hepatitis B?,604
Have you been diagnosed with any vaginal infections?,605
Do you have a history of sexually transmitted infections (STIs)?,606
Were you treated for tuberculosis?,607
Does he suffer from anemia?,608
Does she have back pain?,609
Did he have chickenpox as a child?,610
Has he had food poisoning?,611
Does she get nosebleeds?,612
Have you ever had a joint replacement surgery?,613
Does she feel dizzy often?,614
Has he had a blood transfusion?,615
Is there a family history of stroke?,616
Have they had malaria recently?,617
Have they been diagnosed with diabetes?,618
Severe headaches occur weekly.,619
Have you been diagnosed with any skin cancer?,620
Do you have a history of acne?,621
Have you ever had a fungal infection?,622
My sickle cell disease has been present since birth.,623
Ear infections cause temporary hearing loss.,624
Arthritis makes it difficult to climb stairs.,625
Poor vision requires wearing glasses for reading.,626
Heart disease runs in the family.,627
Kidney stones caused severe pain and required surgery.,628
His depression has been managed with counseling.,629
A broken arm occurred during a football match.,630
Have you ever had a hair transplant?,631
Headaches are often triggered by stress.,632
Do you have a history of dandruff?,633
Have you ever had a nail fungus?,634
Chickenpox left scars on her skin.,635
Fibroids caused heavy menstrual bleeding.,636
Low blood sugar causes dizziness and sweating.,637
A dog bite required a tetanus shot.,638
Measles caused a high fever.,639
A blood transfusion was needed after an accident.,640
How long has high blood pressure been an issue?,641
Does arthritis affect mobility?,642
Are glasses needed for reading or driving?,643
Have you been diagnosed with any ankle sprains?,644
Back pain is worse after sitting for long periods.,645
Have you ever had a knee replacement surgery?,646
Have you been diagnosed with any muscle tears?,647
Skin rashes appear after using certain soaps.,648
Have you ever had a hip replacement surgery?,649
Headaches are triggered by bright lights.,650
Joint pain is worse in the morning.,651
Food poisoning caused vomiting and diarrhea.,652
Dizziness occurs when dehydrated.,653
Do fainting spells happen in hot weather?,654
Have you ever had a neck injury?,655
Does dehydration cause dizziness?,656
Was a dog bite treated with stitches?,657
Have you ever had a shoulder surgery?,658
Was measles contracted during an outbreak?,659
Do you have a history of frozen shoulder?,660
Have you ever had an elbow surgery?,661
Was a fungal infection treated with cream?,662
I got injured whilst playing football,663
Have you ever had a wrist surgery?,664
Malaria caused severe chills and sweating.,665
My parents had a stroke at age 60.,666
Back pain is worse after lifting heavy objects.,667
Hernia surgery was done to prevent complications.,668
Hepatitis B was detected during a blood donation.,669
Kidney stones caused frequent urination.,670
Have you been diagnosed with any bone infections?,671
Burn scars remain from a cooking accident.,672
Have you ever had a shoulder dislocation?,673
Ringworm caused a circular rash on the skin.,674
The dislocated shoulder happened during a fall.,675
Have you ever had a bone fracture?,676
Have you been diagnosed with any joint weakness?,677
Do you have a history of joint inflammation?,678
Have you ever had an organ transplant?,679
Have you been diagnosed with any organ failure?,680
Do you have a history of organ rejection?,681
Have you ever been on dialysis?,682
Can you fart after the surgery?,683
When was the last time you pooped?,684
My poop is always solid,685
Have you been diagnosed with any pancreatitis?,686
I alway get breathing issues when I smell something so strong,687
Are there burn scars from a cooking accident?,688
Do nosebleeds happen during harmattan?,689
Does skipping meals cause dizziness?,690
Your family has a history of kidney disease.,691
Migraines are triggered by bright sunlight.,692
Do you have a history of bladder infections?,693
A scorpion sting caused swelling and numbness.,694
Have you been diagnosed with any prostate issues?,695
Do you have a history of prostate cancer?,696
Have you ever had a prostate exam?,697
Have you been diagnosed with any erectile dysfunction?,698
A cat scratch required antibiotic treatment.,699
Do certain perfumes cause skin rashes?,700
You need a blood test to confirm the diagnosis.,701
This treatment will help reduce inflammation.,702
We will start with a physical examination.,703
I recommend you take this medication twice a day.,704
The doctor will review your test results shortly.,705
Your diagnosis shows that you have a bacterial infection.,706
This treatment should alleviate the pain.,707
We need to monitor your symptoms closely.,708
You will need a follow-up appointment in two weeks.,709
The test results show no signs of infection.,710
You have been diagnosed with hypertension.,711
This medication will help manage your condition.,712
The doctor has prescribed a new treatment plan.,713
You will need to take this medication with food.,714
Your blood pressure is elevated; we need to control it.,715
We have to perform a CT scan to get a clearer picture.,716
The MRI results show some inflammation.,717
You need to rest and drink plenty water.,718
The treatment will begin after your surgery.,719
We need to do some tests to determine the cause of your symptoms.,720
This diagnosis requires immediate treatment.,721
The doctor will explain your treatment options.,722
You need to take this prescription for 10 days.,723
"The surgery was successful, and you should recover soon.",724
Your condition has improved with the new treatment.,725
We need to adjust your dosage to avoid side effects.,726
The test results confirm that you have a viral infection.,727
I'll prescribe some antibiotics for your condition.,728
The X-ray shows no fractures.,729
We will monitor your condition to see if it improves.,730
You may need physical therapy after the surgery.,731
The doctor will discuss the potential side effects of this medication.,732
You will need to stay in the hospital overnight.,733
Your diagnosis requires further tests to rule out other conditions.,734
We need to change your medication due to side effects.,735
I'll refer you to a specialist for further evaluation.,736
The doctor will review your condition progress during the next visit.,737
You will need to rest and avoid strenuous activity.,738
This is a long-term treatment plan that may take months.,739
We have to treat this condition with a combination of medications.,740
The doctor has recommended surgery to treat this condition.,741
This therapy will help you recover faster.,742
We will prescribe a painkiller to ease your discomfort.,743
Your symptoms suggest a respiratory infection.,744
You may need an operation to remove the tumor.,745
You should start seeing improvements in a few days.,746
The doctor will monitor your heart rate throughout the treatment.,747
You need to take these medications at specific times of the day.,748
We will run more tests to confirm the diagnosis.,749
You will receive a follow-up call after your appointment.,750
The doctor has recommended a biopsy to confirm the diagnosis.,751
You will need to undergo a series of blood tests.,752
This treatment plan includes both medication and lifestyle changes.,753
The doctor has suggested a low-sodium diet to manage your blood pressure.,754
You will need to avoid certain foods to prevent allergic reactions.,755
The doctor has recommended you exercise or engage in sporting activities.,756
You will need to wear a brace to support your injured limb.,757
The doctor has prescribed a topical cream for your skin condition.,758
You will need to take this medication on an empty stomach.,759
The doctor has recommended a follow-up visit in one month.,760
You will need to avoid alcohol while taking this medication.,761
The doctor has suggested a low-impact exercise routine.,762
You will need to monitor your blood sugar levels daily.,763
The doctor has recommended you sleep often in order to diagnose your condition.,764
You will need to take this medication for at least six weeks.,765
You need to take this medicine every morning after breakfast.,766
"Take this pill with water, and don稚 skip any doses.",767
The doctor has recommended a stress management program.,768
You will need to take this medication with plenty of water.,769
You should avoid spicy food until you feel better.,770
You will need to avoid strenuous activities for the next two weeks.,771
The doctor wants you to rest as much as possible.,772
You will need to take this medication before bedtime.,773
"Take this medicine for five days, even if you feel better sooner.",774
Take this medicine twice a day.,775
Rest well and drink plenty of water.,776
Avoid lifting heavy things for now.,777
Come back to the clinic in one week.,778
Eat more fruits and vegetables every day.,779
Do not skip your medication.,780
Keep the wound clean and dry.,781
Avoid spicy and oily foods.,782
Walk a little every day to stay healthy.,783
Sleep early and get enough rest.,784
Wash your hands often to stay clean.,785
Avoid too much sugar in your food.,786
Take this medicine after eating.,787
Do not smoke to help your lungs heal.,788
Avoid stress and try to relax.,789
Eat small meals throughout the day.,790
Avoid cold drinks if you have a cough.,791
Take this medicine for seven days.,792
Avoid crowded places to stay safe.,793
Drink warm water to help your throat.,794
Avoid too much salt in your food.,795
Take this medicine before sleeping.,796
Avoid fried foods for a while.,797
Eat more beans and fish for protein.,798
Avoid too much caffeine.,799
Avoid heavy exercise for now.,800
Drink herbal tea to feel better.,801
Avoid eating late at night.,802
Take this medicine with breakfast.,803
Avoid dusty places to help your breathing.,804
Eat more whole grains like oats.,805
Avoid too much bread and milk.,806
Take this medicine with milk if your stomach hurts.,807
Avoid using strong perfumes or sprays.,808
Eat more leafy green vegetables.,809
Avoid too much red meat.,810
Take this medicine with a piece of fruit.,811
Avoid sitting for too long; move around.,812
Drink coconut water to stay hydrated.,813
Avoid too much processed food.,814
Take this medicine with a small meal.,815
Avoid too much screen time before bed.,816
Eat more eggs for energy.,817
Avoid too much butter or oil in cooking.,818
Take this medicine with a cup of tea.,819
Avoid too much chocolate or sweets.,820
Eat more yam and plantain for strength.,821
Avoid too much canned food.,822
Take this medicine with a glass of juice.,823
Avoid too much rice in your meals.,824
Eat more nuts and seeds for health.,825
Avoid too much ice cream or cold treats.,826
Take this medicine with a light dinner.,827
Avoid too much cheese or dairy.,828
Eat more soups and stews for warmth.,829
Avoid too much unhealthy food.,830
Take this medicine with a piece of bread.,831
Avoid too much cake or pastries.,832
Eat more beans and lentils for protein.,833
Avoid too much fried plantain.,834
Take this medicine with a glass of warm milk.,835
Avoid too much soda or fizzy drinks.,836
Eat more fresh fish for strength.,837
Avoid too much processed meat.,838
Take this medicine with a small snack.,839
Avoid too much sugar in your tea.,840
Eat more boiled eggs for energy.,841
Avoid too much canned fish.,842
Take this medicine with a light breakfast.,843
Avoid too much margarine or butter.,844
Eat more roasted corn for fiber.,845
Avoid too much fried chicken.,846
Avoid too much packaged snacks.,847
Eat more boiled potatoes for energy.,848
